subject,expression,filename,is_neutral
1526405598,Sadness,0.png,True
1526405598,Sadness,1.png,True
1526405598,Sadness,2.png,True
1526405598,Sadness,3.png,True
1526405598,Sadness,4.png,False
1526405598,Sadness,5.png,False
1526405598,Sadness,6.png,False
1526405598,Sadness,7.png,False
1526405598,Sadness,8.png,False
1526405598,Sadness,9.png,False
1526405598,Sadness,10.png,False
1526405598,Sadness,11.png,False
1526405598,Sadness,12.png,False
1526405598,Sadness,13.png,False
1526405598,Sadness,14.png,False
1526405598,Sadness,15.png,False
1526405598,Sadness,16.png,False
1526405598,Sadness,17.png,False
1526405598,Sadness,18.png,False
1526405598,Sadness,19.png,False
1526405598,Sadness,20.png,False
1526405598,Sadness,21.png,False
1526405598,Sadness,22.png,False
1526405598,Sadness,23.png,False
1526405598,Sadness,24.png,False
1526405598,Sadness,25.png,False
1526405598,Sadness,26.png,False
1526405598,Sadness,27.png,False
1526405598,Sadness,28.png,False
1526405598,Sadness,29.png,False
1526405598,Sadness,30.png,False
1526405598,Sadness,31.png,False
1526405598,Sadness,32.png,False
1526405598,Sadness,33.png,False
1526405598,Sadness,34.png,False
1526405598,Sadness,35.png,False
1526405598,Sadness,36.png,False
1526405598,Sadness,37.png,False
1526405598,Sadness,38.png,False
1526405598,Sadness,39.png,False
1526405598,Sadness,40.png,False
1526405598,Sadness,41.png,False
1526405598,Sadness,42.png,False
1526405598,Sadness,43.png,False
1526405598,Sadness,44.png,False
1526405598,Sadness,45.png,False
1526405598,Sadness,46.png,False
1526405598,Sadness,47.png,False
1526405598,Sadness,48.png,False
1526405598,Sadness,49.png,False
1526405598,Sadness,50.png,False
1526405598,Sadness,51.png,False
1526405598,Sadness,52.png,False
1526405598,Sadness,53.png,False
1526405598,Sadness,54.png,False
1526405598,Sadness,55.png,False
1526405598,Sadness,56.png,False
1526405598,Sadness,57.png,False
1526405598,Sadness,58.png,False
1526405598,Sadness,59.png,False
1526405598,Sadness,60.png,False
1526405598,Sadness,61.png,False
1526405598,Sadness,62.png,False
1526405598,Sadness,63.png,False
1526405598,Sadness,64.png,False
1526405598,Sadness,65.png,False
1526405598,Sadness,66.png,False
1526405598,Sadness,67.png,False
1526405598,Sadness,68.png,False
